Decimal Year,STemperature °C,Salinity,DTemperature °C,DSalinity
2001.9583,7.458,32.382,8.802,35.212
2002.0417,5.535,32.848,8.145,35.02
2002.125,5.525,32.891,6.472,34.787
2002.2083,4.894,33.061,7.179,34.942
2002.2917,6.538,31.919,6.932,35.099
2002.375,8.822,29.883,7.03,35.137
2002.4583,12.959,30.502,7.083,35.117
2002.5417,14.248,30.128,7.534,35.126
2002.625,18.123,31.829,7.524,35.152
2002.7083,18.096,31.696,7.857,35.183
2002.7917,9.947,33.947,7.655,35.13
2002.875,8.973,33.671,8.041,35.182
2002.9583,6.806,32.513,7.624,35.146
2003.0417,5.521,33.487,7.522,35.058
2003.125,2.637,32.042,6.742,34.97
2003.2083,3.744,30.467,5.696,34.934
2003.2917,5.696,32.567,6.88,35.17
2003.375,6.888,32.921,6.721,35.142
2003.4583,13.307,28.864,7.108,35.116
2003.5417,14.515,31.499,7.504,35.205
2003.625,16.789,32.675,7.976,35.139
2003.7083,15.492,33.117,8.069,35.132
2003.7917,12.113,32.711,8.005,35.16
2003.875,9.776,33.799,8.268,35.151
2003.9583,8.72,33.728,8.393,35.276
2004.0417,6.313,33.802,7.587,34.743
2004.125,5.227,33.025,6.538,34.996
2004.2083,4.567,32.535,6.555,35.056
2004.2917,6.08,31.824,6.989,35.111
2004.375,8.226,32.213,6.835,35.105
2004.4583,11.078,31.456,7.459,35.255
2004.5417,12.571,32.723,7.652,35.243
2004.625,18.287,30.082,7.698,35.296
2004.7083,16.082,30.384,7.998,35.282
2004.7917,13.08,33.009,8.54,35.174
2004.875,,,,
2004.9583,8.314,33.087,8.839,35.184
2005.0417,6.323,34.254,7.617,35.246
2005.125,4.697,31.22,,
2005.2083,,,,
2005.2917,5.96,29.481,6.074,35.141
2005.375,7.867,27.139,6.803,35.176
2005.4583,12.061,29.61,7.304,35.206
2005.5417,13.852,29.883,7.502,35.297
2005.625,14.564,31.897,7.647,35.26
2005.7083,15.566,31.701,7.726,35.317
2005.7917,13.667,30.982,8.006,35.236
2005.875,,,,
2005.9583,9.227,34.127,8.334,35.333
2006.0417,6.008,33.501,6.591,34.927
2006.125,4.703,32.685,7.362,35.173
2006.2083,5.14,34.143,7.033,35.16
2006.2917,5.276,30.963,5.944,35.097
2006.375,8.12,32.286,6.385,35.172
2006.4583,12.604,30.263,6.978,35.248
2006.5417,15.558,30.182,6.925,35.203
2006.625,18.452,31.679,7.207,35.169
2006.7083,15.66,32.995,7.34,35.165
2006.7917,13.993,32.925,7.575,35.219
2006.875,,,,
2006.9583,,,,
2007.0417,7.775,33.363,8.014,34.951
2007.125,5.504,32.174,7.849,35.236
2007.2083,6.032,32.649,7.332,35.15
2007.2917,7.034,28.35,7.278,35.142
2007.375,9.299,30.06,7.293,35.177
2007.4583,13.483,29.931,7.704,35.243
2007.5417,14.251,28.826,7.719,35.141
2007.625,16.651,30.281,8.024,35.136
2007.7083,14.606,30.565,8.073,35.123
2007.7917,13.033,32.097,7.929,35.203
2007.875,,,,
2007.9583,7.858,32.823,9.085,34.752
2008.0417,6.943,33.279,8.759,35.145
2008.125,5.721,32.759,6.774,34.832
2008.2083,5.947,32.942,6.899,35.048
2008.2917,6.23,32.115,6.928,35.155
2008.375,8.061,30.162,6.922,35.206
2008.4583,11.446,31.678,7.04,35.172
2008.5417,17.476,31.592,7.396,35.168
2008.625,17.814,29.51,7.337,35.094
2008.7083,16.148,33.444,7.447,35.159
2008.7917,13.733,32.316,7.507,35.044
2008.875,10.723,33.043,7.985,35.248
2008.9583,7.836,33.014,9.13,35.227
2009.0417,5.167,32.906,6.286,34.889
2009.125,5.328,33.03,7.524,35.092
2009.2083,4.952,33.276,6.489,35.099
2009.2917,7.628,32.945,6.829,35.242
2009.375,8.362,30.535,6.938,35.179
2009.4583,14.207,30.402,7.716,35.181
2009.5417,16.316,31.29,7.461,35.174
2009.625,16.805,32.061,7.759,35.147
2009.7083,15.887,32.521,7.979,35.178
2009.7917,,,,
2009.875,7.807,27.215,,
2009.9583,9.109,33.065,8.153,35.197
2010.0417,7.461,34.059,8.3,34.933
2010.125,,,,
2010.2083,3.332,30.542,5.3,34.979
2010.2917,6.228,31.638,5.285,35.011
2010.375,6.919,29.206,,
2010.4583,12.373,30.294,6.662,35.172
